brand,search_volume_relative,date,cpc_pred,search_volume_abs
비에날씬,0.69267,2019-10-14,93,180.93579987917235
비에날씬,0.68073,2019-10-15,93,177.81689267869112
비에날씬,0.65684,2019-10-16,93,171.57646612764455
비에날씬,0.52945,2019-10-17,93,138.30028620559256
비에날씬,0.46974,2019-10-18,93,122.70313805310236
비에날씬,0.41799,2019-10-19,93,109.18526136759964
비에날씬,0.41401,2019-10-20,93,108.1456256341059
비에날씬,0.67277,2019-10-21,93,175.73762121170364
비에날씬,0.4777,2019-10-22,93,124.78240952008984
비에날씬,0.99124,2019-10-23,93,258.9267649417916
비에날씬,0.84792,2019-10-24,93,221.4894299356805
비에날씬,4.375,2019-10-25,93,1142.8156618178627
비에날씬,1.36146,2019-10-26,93,355.63378535738224
비에날씬,1.00716,2019-10-27,93,263.08530787576655
비에날씬,1.10668,2019-10-28,93,289.08142551327825
비에날씬,1.85907,2019-10-29,93,485.61698569502494
비에날씬,1.09474,2019-10-30,93,285.96251831279704
비에날씬,0.79617,2019-10-31,93,207.97155325017778
비에날씬,2.20939,2019-11-01,93,577.1258274431469
비에날씬,0.58917,2019-11-02,93,153.9000465081669
비에날씬,0.48566,2019-11-03,93,126.86168098707729
비에날씬,1.64808,2019-11-04,93,430.50323106943614
비에날씬,1.10668,2019-11-05,93,289.08142551327825
비에날씬,1.23805,2019-11-06,93,323.397241168824
비에날씬,1.0191,2019-11-07,93,266.2042150762477
비에날씬,0.99124,2019-11-08,93,258.9267649417916
비에날씬,0.69267,2019-11-09,93,180.93579987917235
비에날씬,0.79219,2019-11-10,93,206.93191751668402
비에날씬,1.26194,2019-11-11,93,329.6376677198706
비에날씬,0.76035,2019-11-12,93,198.61483164873414
비에날씬,3.14092,2019-11-13,93,820.4554442324483
비에날씬,0.77627,2019-11-14,93,202.7733745827091
비에날씬,0.55334,2019-11-15,93,144.54071275663912
비에날씬,1.13853,2019-11-16,93,297.4011235313123
비에날씬,3.09315,2019-11-17,93,807.9772032804393
비에날씬,0.97929,2019-11-18,93,255.80524559122622
비에날씬,0.79219,2019-11-19,93,206.93191751668402
비에날씬,0.83996,2019-11-20,93,219.41015846869303
비에날씬,0.56528,2019-11-21,93,147.65961995712033
비에날씬,0.832,2019-11-22,93,217.33088700170555
비에날씬,0.50955,2019-11-23,93,133.10210753812385
비에날씬,0.69267,2019-11-24,93,180.93579987917235
비에날씬,1.21417,2019-11-25,93,317.1594267678616
비에날씬,1.0828,2019-11-26,93,282.84361111231584
비에날씬,2.27707,2019-11-27,93,594.8048592127087
비에날씬,0.68869,2019-11-28,93,179.8961641456786
비에날씬,0.64092,2019-11-29,93,167.41792319366962
비에날씬,2.04219,2019-11-30,93,533.4506780360734
비에날씬,1.40923,2019-12-01,93,368.11202630939124
비에날씬,1.38933,2019-12-02,93,362.91384764192253
비에날씬,1.11863,2019-12-03,93,292.2029448638436
비에날씬,1.05493,2019-12-04,93,275.5635488277755
비에날씬,0.90764,2019-12-05,93,237.08919023825484
비에날씬,0.71656,2019-12-06,93,187.1762264302189
비에날씬,0.43789,2019-12-07,93,114.38344003506832
